,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
177,EPIC 251383916.01,0.0,1.332797,43.78716216216216,64.5357,6519.0,1.06,4.51,23.7352853
178,EPIC 251390801.01,0.0,0.592255,43.335810810810806,31.2313,5660.49,1.05,4.4,24.2037699
179,EPIC 251393748.01,0.0,8.07181,43.43116216216217,19.0291,5709.51,1.24,4.26,24.4027825
180,EPIC 251393916.01,0.0,0.678473,43.31137837837837,5.8984,5744.27,1.59,4.05,24.412541
181,EPIC 251394139.01,0.0,26.286249,37.70156756756757,11.0497,5980.95,1.31,4.24,24.4257827
182,EPIC 251404897.01,0.0,0.660085,46.65167567567567,27.3793,4401.0,1.16,4.15,25.0710794
183,EPIC 251411166.01,0.0,3.37433,44.30191891891893,2.3276,4708.0,3.78,4.364864864864865,25.4182681
184,G 9-40 b,1.0,5.745912,43.277162162162156,0.3155,3390.0,0.31,4.94,21.0747961
185,GJ 9827 b,1.0,1.2089802,1.62,0.0586,4269.0,0.61,4.65,-1.2853435
186,GJ 9827 c,1.0,3.64823,1.24,3.8169405405405405,4219.0,0.62,4.66,-1.2853435
187,GJ 9827 d,1.0,6.20142,2.04,3.8169405405405405,4219.0,0.62,4.66,-1.2853435
188,HAT-P-56 b,1.0,2.790833,5.621567567567568,0.711442972972973,6568.0,1.2562162162162163,4.26,27.2521823
189,HATS-11 b,1.0,3.619188,18.03,3.787572972972973,6563.0,1.54,4.19,-22.3900092
190,HATS-12 b,1.0,3.142846,8.845,3.802859459459459,6235.0,1.29,4.22,-19.3559227
191,HATS-36 b,1.0,4.175235,12.77,1.3791,5702.687297297297,1.09,4.467567567567569,-23.2028183
192,HATS-9 b,1.0,1.9153196,14.42,0.847,5598.471081081081,1.59,4.324594594594593,-20.1663771
193,HD 106315 b,1.0,9.554515,2.329,4.97362837837838,6321.0,1.27,4.19,-0.3934357
194,HD 106315 c,1.0,21.058,4.4,4.97362837837838,6254.0,1.28,4.23,-0.3934357
195,HD 137496 b,1.0,1.62116,1.31,0.00575,5799.0,1.59,4.05,-16.5090014
196,HD 137496 c,1.0,479.9,46.673810810810814,3.815512162162162,5799.0,1.59,4.05,-16.5090014
197,HD 3167 b,1.0,0.959628,1.8,3.818386486486486,5857.66027027027,0.88,4.167027027027028,4.3807215
198,HD 3167 c,1.0,5.877997508108108,46.64578378378378,3.818386486486486,5857.66027027027,2.652162162162162,4.167027027027028,4.3807215
199,HD 3167 d,1.0,8.509,46.64578378378378,3.818386486486486,5261.0,0.86,4.47,4.3807215
200,HD 80653 b,1.0,0.719573,1.613,3.817978378378379,5784.038648648649,1.22,4.34,14.3678691
201,HD 89345 b,1.0,11.81399,6.86,3.817978378378379,5499.0,1.66,4.04,10.1288464
202,HIP 116454 b,1.0,9.1205,2.466,0.097,5089.0,0.72,4.59,0.4447043
203,K2-10 b,1.0,19.3037,4.37,3.7491945945945946,5581.0,1.08,4.33,1.6906217
204,K2-107 b,1.0,3.313921,12.043,3.808964864864866,6178.0,1.33,4.24,-22.2934206
205,K2-11 b,1.0,39.863566,2.47,0.0834,5133.0,0.78,4.411081081081081,1.9866832
206,K2-111 b,1.0,5.35117,1.9,3.824762162162162,5730.0,1.23,4.15,21.2985263
207,K2-111 c,1.0,15.6785,34.487972972972976,3.824762162162162,5775.0,1.25,4.25,21.2985263
208,K2-113 b,1.0,5.817649,12.55,0.8378,5669.741351351351,1.29,4.402432432432433,6.8688469
209,K2-116 b,1.0,4.655335,0.719,3.817978378378378,4547.0,0.69,4.64,-11.5793181
210,K2-12 b,1.0,8.28176,2.72,3.784870270270271,6177.0,1.31,4.28,2.2446794
211,K2-125 b,1.0,21.750264,2.18,3.822005405405406,3654.47,0.4,4.481351351351351,-14.9478195
212,K2-129 b,1.0,8.23981,0.661,0.0858,5654.9845945945945,0.21,4.332972972972972,-25.6463233
213,K2-13 b,1.0,39.91488,1.89,0.058,5698.0,0.78,4.3629729729729725,2.5027534
214,K2-130 b,1.0,2.494161,1.062,3.812559459459459,4528.0,0.64,4.62,-19.6908744
215,K2-131 b,1.0,0.36931,1.7,0.04,5245.0,0.75,4.61,-9.7652392
216,K2-132 b,1.0,9.173866,6.865,2.030002972972973,5035.0,2.16,3.8,-8.7472172
217,K2-133 b,1.0,3.0712,1.31,0.071,3655.0,0.47,4.415135135135136,25.0098135
