,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag
169,K2-261 b,1,1.0,11.633478,9.528,1046.0,88.07,0.35,0.2814,5.138,13.53,0.05304,5445.0,1.64,1.09,0.36,4.04,0.493167,10.451
170,K2-264 b,1,2.0,5.83977,2.27,489.0,88.9,0.44,255009.7789473684,1.88,22.4,0.0439,3580.0,0.47,0.47,0.12,4.083431578947368,19.698401,15.318
171,K2-264 c,1,2.0,19.66365,2.77,326.0,89.6,0.37,202939.82842105266,2.92,50.4,0.0536,3580.0,0.47,0.47,0.12,4.121694736842105,19.698401,15.318
172,K2-266 b,1,4.0,0.658524,3.3,1515.0,75.32,1.011,0.18,0.33336,4.0,0.043,4285.0,0.7,0.69,-0.12,4.58,0.9372782,11.386
173,K2-266 c,1,4.0,7.814,0.705,664.0,88.28,0.6,0.0085,2.256,20.8,0.0092,4285.0,0.7,0.69,-0.12,4.58,0.9372782,11.386
174,K2-266 d,1,4.0,14.697,2.93,538.0,89.46,0.29,0.1465,3.408,31.7,0.03827,4285.0,0.7,0.69,-0.12,4.58,0.9372782,11.386
175,K2-266 e,1,4.0,19.482,2.73,490.0,89.45,0.36,0.127,3.6648,38.2,0.03564,4285.0,0.7,0.69,-0.12,4.58,0.9372782,11.386
176,K2-280 b,1,1.0,19.89526,7.5,787.0,89.53,0.27,225202.21368421052,8.267,25.79,0.05354,5500.0,1.28,1.03,0.33,4.21,-22.2477071,12.302
177,K2-284 b,1,1.0,4.795069,2.78,653.0,89.0,0.28,185811.7010526316,2.147,16.84,0.042,4140.0,0.61,0.63,0.0,4.67,20.2549034,12.811
178,K2-285 b,1,4.0,3.471745,2.59,1089.0,86.846,0.57,0.097,2.18,10.43,0.03013,4975.0,0.79,0.83,0.0,4.4,1.3001522,11.665
179,K2-285 c,1,4.0,7.138048,3.53,741.0,89.861,0.05,0.21,2.52,22.51,0.04115,4975.0,0.79,0.83,0.0,4.4,1.3001522,11.665
180,K2-285 d,1,4.0,10.45582,2.48,620.0,89.643,0.2,0.1,2.504,32.2,0.0289,4975.0,0.79,0.83,0.0,4.4,1.3001522,11.665
181,K2-285 e,1,4.0,14.76289,1.95,501.0,89.799,0.17,0.068,2.3,49.43,0.0227,4975.0,0.79,0.83,0.0,4.4,1.3001522,11.665
182,K2-286 b,1,1.0,27.359,2.1,347.0,89.67,0.35,0.112,3.0,63.0,0.0315,3926.0,0.62,0.64,0.0,4.7,-16.7737113,12.201
183,K2-287 b,1,1.0,14.893291,9.494,804.0,88.13,0.7556936842105261,207345.9989473684,7.381281368421052,23.87,0.08014,5695.0,1.07,1.06,0.2,4.4,-22.3583447,11.058
184,K2-289 b,1,1.0,13.156969,9.1,753.0,88.48,0.6,219677.1968421053,4.032,22.5,0.081,5529.0,1.02,0.95,0.162,4.39,-15.7925384,14.039
185,K2-29 b,1,1.0,3.2589263,11.209,1076.0,87.89,0.452,1.884,2.13,11.77,0.1373,5222.0,0.75,0.86,0.0,4.63,24.4016558,12.914
186,K2-290 b,1,2.0,9.21165,3.06,1230.0,88.14,0.438,217434.64315789472,4.96,13.15,0.019,6302.0,1.51,1.19,-0.06,4.23,-20.1988975,10.784
187,K2-290 c,1,2.0,48.36685,11.276,676.0,89.37,0.474,217434.64315789472,8.14,43.5,0.06848,6302.0,1.51,1.19,-0.06,4.23,-20.1988975,10.784
188,K2-292 b,1,1.0,16.9841,2.63,795.0,88.4,0.68,253092.83157894737,3.66,25.9,0.022,5725.0,1.09,1.0,0.07,4.33,-9.9460704,9.782
189,K2-293 b,1,1.0,13.1225,2.45,750.0,88.8,0.47,225280.6157894737,3.98,22.9,0.0228,5532.0,0.95,0.96,0.218,4.52,-6.0279068,13.171
190,K2-294 b,1,1.0,2.50387,1.66,1425.0,85.5,0.51,249202.53789473686,2.6,6.49,0.01262,5612.0,1.2,0.99,0.194,4.2,-7.6037856,12.392
191,K2-295 b,1,1.0,4.024867,10.054,852.0,89.3,0.17,235671.98210526313,2.4984,13.76,0.1304,4444.0,0.7,0.74,0.14,4.63,6.8167277,13.539
