,pl_name,tid,disposition,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
5383,817.01,30312676.0,0.0,74.286788,-66.390334,1.858,-0.031,2459126.7692,1.10223,2.598,1015.0,7.4694027,199185.0,5885.0,11.3029,7294.41,8747.0,4.08022,2.23767
5384,818.01,46096489.0,1.0,214.683011,-20.275437,-0.04,17.257,2458598.072777,3.118536,2.043274,12242.731322,11.857124,481.9169727,1194.9859664,10.6481,194.134,5700.0,4.49158,0.95
5385,819.01,73717937.0,1.0,192.189568,-47.613679,-32.058,2.831,2458602.088843,16.257799,4.970024,6613.207764,8.959641,72.5296382,744.3010426,11.7528,400.331,5846.0,4.41665,1.09
5386,820.01,111991770.0,1.0,208.928011,-32.159712,8.77,-22.391,2458599.445086,3.752062,3.680056,9500.430305,14.937131,1237.7366286,1512.7836094,10.4445,282.091,6300.0,4.16979,1.48
5387,822.01,127530399.0,1.0,217.6092,-46.159516,12.561,-73.208,2459359.008313,7.133518,3.006,18210.0,10.9689,50.841,743.0,11.1116,122.91,4775.0,4.60305,0.79
5388,822.02,127530399.0,1.0,217.6092,-46.159516,12.561,-73.208,2458597.575673,1.0115336,1.6201453,640.6892788,2.3332033,871.7333843,1385.8482225,11.1116,122.91,4775.0,4.60305,0.789877
5390,824.01,193641523.0,1.0,222.16547,-57.588867,-51.604,-152.392,2459334.698257,1.392975,1.1608086,1684.6763291,3.0504133,411.4990302,1148.7141044,10.0732,63.9262,4452.0,4.49909,0.729635
5391,825.01,220029715.0,1.0,208.856746,-21.207859,-43.125,-36.694,2459309.073681,3.1853325,2.3645428,4887.9197145,5.892612,211.6166017,972.7633139,12.4284,240.707,4944.0,4.50243,0.781959
5392,826.01,243200602.0,1.0,203.106019,-42.475273,6.111,-1.238,2459312.195914,11.550246,3.6666921,10389.1217072,10.8601251,99.6268657,805.775144,10.491,172.256,5625.0,4.49092,1.05922
5394,828.01,271168962.0,1.0,210.193571,-30.583608,10.294,-9.852,2458601.579679,5.322154,3.887594,6558.436228,13.376846,748.2128804,1333.9085142,9.47199,200.075,6030.0,4.09435,1.53
5398,832.01,350332997.0,0.0,84.081627,-54.191199,13.661,1.427,2459357.079526,1.9160221,1.405,2430.0,10.8261,339.505,1195.0,11.7611,586.704,5623.0,4.37483,2.09
5399,833.01,362249359.0,1.0,145.645472,-62.475886,-157.239,79.715,2458544.119992,1.0418909,1.2065106,494.6961466,1.3524513,270.0675349,1033.9221624,10.1461,41.7148,3965.0,4.68337,0.603336
5400,834.01,404340025.0,1.0,195.828164,-49.639773,25.809,-22.57,2459335.491105,2.6754948,3.2265912,14234.7488208,16.2422461,1360.2028998,1548.8903488,10.7036,258.777,6783.0,4.24271,1.3441499
5402,836.01,440887364.0,1.0,225.079883,-24.454202,-199.576,-27.911,2459356.164023,8.5954792,2.47,1140.0,2.64032,40.8229,704.0,8.6486,27.5024,4476.0,4.58156,0.69
5404,837.01,460205581.0,1.0,157.037281,-64.505211,-18.017,11.307,2459356.814057,8.3249309,1.647,4360.0,7.59991,112.714,907.0,9.9322,142.488,6513.0,4.53694,1.01
5405,838.01,461271719.0,0.0,203.166643,-38.845947,4.757,-4.461,2459319.912483,7.6246687,1.402,830.0,9.52202,93.0099,865.0,8.7823,305.237,7313.0,4.14443,2.63
5406,839.01,466840711.0,1.0,166.979879,-61.14625,-4.522,2.488,2458571.551642,2.4855806,3.0016362,19630.5671979,36.5091254,4135.3642287,2045.2584294,14.1491,1627.63,6933.0,4.25089,1.59944
5407,840.01,287563610.0,1.0,198.132842,-45.590574,-13.42,-1.788,2459309.562448,3.799565,2.3288684,7552.0383791,8.4989031,360.1703781,1111.0836261,13.0546,488.176,5318.0,4.43686,0.973436
5410,843.01,437333618.0,1.0,207.907675,-23.78124,-19.483,-13.537,2459307.702523,4.2986443,3.0407244,14799.0971321,13.8431909,454.8723762,1177.8558423,12.472,471.158,5715.0,4.34342,1.11852
5411,844.01,380886535.0,0.0,19.461136,0.346971,-6.903,-33.44,2459451.724033,8.9066251,1.9618338,2178.8336338,7.1574108,325.1651305,1083.0431039,11.7952,472.297,5829.6,4.1,1.51595
5412,845.01,32283946.0,0.0,24.172722,-31.670795,16.042,2.217,2458389.0024,7.06181,5.853,22745.5,24.7848,721.751,1443.0,11.7582,475.359,5818.3,4.4,1.49
5413,846.01,229141709.0,0.0,26.376875,-51.296821,25.698,11.896,2458363.76296,14.20489,4.924,8761.57,12.4595,386.596,1235.0,11.766,446.815,6316.3,4.3,1.21
5415,848.01,42015200.0,0.0,24.216097,-39.142583,21.676,-6.177,2458391.66318,9.77742,6.713,6740.0,35.6978,480.928,1304.0,11.6818,527.114,4513.0,4.31493,2.87
5416,849.01,33595516.0,1.0,28.715796,-29.421709,73.315,20.664,2458384.01956,0.76566,1.452,1410.0,3.54139,2314.06,1932.0,11.5485,225.734,5311.0,4.47,0.92
5424,857.01,404467699.0,1.0,25.871364,-14.149185,24.873,-9.773,2459137.830843,3.9080236,3.292,8100.0,15.1385,744.132,1455.0,10.2676,286.484,6143.0,4.08,1.63
5428,861.01,372913430.0,0.0,119.533518,-60.780499,-3.81,12.358,2459169.053069,6.7391601,2.537,3040.0,30.8876,5656.73,2416.0,8.3502,422.358,10341.0,3.8,3.39
5434,868.01,271596418.0,0.0,108.568016,-74.970528,3.562,59.957,2458325.748771,0.556109,1.096708,172.860189,1.609049,8967.4525288,2481.9156706,10.7109,230.697,5670.45,4.16644,1.18329
