,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,ra,dec
3771,K02732.01,CONFIRMED,7.03146295,1.38,85.4,6170.0,1.499,4.192,289.92145,46.74456
3772,K02732.03,CONFIRMED,54.2811949,2.07,147.8,6170.0,1.499,4.192,289.92145,46.74456
3773,K02808.01,FALSE POSITIVE,0.596087893,1.92,105.1,6049.0,1.827,3.997,285.91943,38.871815
3774,K00270.01,CONFIRMED,12.58229808,1.53,118.7,5587.0,1.423,4.091,293.73282,41.900829
3775,K02809.01,FALSE POSITIVE,7.12684695,1.38,206.3,6050.0,0.896,4.525,285.98483,43.090912
3776,K02810.01,FALSE POSITIVE,0.661749944,23.92,215.6,6363.0,1.198,4.386,292.5448,47.37191
3777,K02811.01,FALSE POSITIVE,1.35477049,0.8,145.3,4414.0,0.689,4.621,293.72894,41.70121
3778,K02882.02,FALSE POSITIVE,0.493393859,1.4,264.7,4474.0,0.614,4.67,297.59085,40.81496
3779,K02883.01,CONFIRMED,11.95401876,2.1,855.9,4359.0,0.659,4.611,297.37332,40.366402
3780,K02884.01,FALSE POSITIVE,2.48883033,0.64,51.4,5615.0,0.833,4.514,293.25812,46.305729
3781,K02885.01,FALSE POSITIVE,20.2340219,0.99,193.6,5528.0,0.71,4.627,298.76404,48.64492
3782,K02886.01,CONFIRMED,0.88184263,1.24,249.9,5268.0,0.776,4.594,293.67047,41.410252
3783,K02675.01,CONFIRMED,5.448321078,2.17,529.4,5721.0,0.905,4.517,292.97125,41.03577
3784,K02675.02,CONFIRMED,1.116127169,1.0,109.2,5721.0,0.905,4.517,292.97125,41.03577
3785,K02676.01,FALSE POSITIVE,195.613824,10.65,1651.9,5970.0,2.229,3.835,298.98038,40.87204
3786,K02677.01,CANDIDATE,237.787237,9.91,1627.7,5185.0,1.853,3.936,294.75769,46.83112
3787,K02678.01,CONFIRMED,3.833087643,2.25,461.4,5397.0,0.831,4.543,292.38855,42.233261
3788,K00262.02,CONFIRMED,9.37663713,1.89,118.4,6237.0,1.543,4.136,288.10086,50.033718
3789,K02733.01,CONFIRMED,5.62006198,1.45,190.1,4868.0,0.746,4.6,289.55301,41.297852
3790,K02734.01,CONFIRMED,3.8259005,3.45,857.2,5223.0,0.885,4.505,281.04916,43.322601
3791,K02735.01,CONFIRMED,0.558841234,1.33,280.9,5151.0,0.792,4.592,294.59656,46.048302
3792,K02736.01,CONFIRMED,9.33648141,2.39,885.4,4442.0,0.648,4.619,281.64774,48.271049
3793,K02812.01,CONFIRMED,76.6139446,2.61,498.7,6173.0,1.03,4.408,291.24518,37.75906
3794,K02813.01,CANDIDATE,0.698461304,14.81,134.4,4676.0,12.558,2.577,295.34222,48.856152
3795,K02815.01,FALSE POSITIVE,1.545388842,0.56,52.8,5782.0,0.767,4.594,297.86011,46.386261
3796,K02816.01,CONFIRMED,1.289590179,1.38,286.0,5467.0,0.808,4.578,283.74142,49.067982
3797,K02817.01,CONFIRMED,0.634003002,1.35,316.9,5226.0,0.75,4.606,290.99536,43.243938
3798,K02887.01,FALSE POSITIVE,1.56859048,23.41,280.6,6248.0,1.002,4.442,293.81381,38.926201
3799,K00274.02,CONFIRMED,22.8030252,1.29,62.9,6063.0,1.613,4.061,282.49222,43.980209
3800,K02888.01,FALSE POSITIVE,0.623441939,13.89,128.1,5385.0,2.871,3.639,296.58734,50.490761
3801,K02889.01,FALSE POSITIVE,5.24364571,25.01,270.4,6197.0,1.056,4.406,291.85898,41.728489
3802,K02890.01,CONFIRMED,8.98826122,1.39,160.8,5984.0,0.906,4.521,296.74643,43.045441
3803,K02679.01,CANDIDATE,110.7556272,29.64,8067.0,6525.0,2.668,3.772,297.84125,42.118252
3804,K00258.01,FALSE POSITIVE,4.15743922,96.99,1472.0,6529.0,3.131,3.657,284.54184,48.961281
3805,K02680.01,CANDIDATE,14.4079035,23.4,3058.0,5440.0,0.728,4.617,299.7915,44.281231
3806,K02681.01,CONFIRMED,135.4978256,6.01,5038.1,5307.0,0.757,4.572,295.8941,42.380451
3807,K02681.02,CONFIRMED,22.2508509,2.07,618.7,5307.0,0.757,4.572,295.8941,42.380451
